"","Patch","bestMod","m.sig","c.var","s.var","s.asr","s.hgt","d.cdf"
"Lores","Lores","delta","0.959040959040959","0.47952047952048","0.619380619380619","0","0.727272727272727","0.31968031968032"
"SuperciliaryLine","SuperciliaryLine","delta","0.911088911088911","0.167832167832168","0.625374625374625","0.011988011988012","0.837162837162837","0.897102897102897"
"Eyeline","Eyeline","OU","0.877122877122877","0.223776223776224","0.731268731268731","0.001998001998002","0.731268731268731","0.401598401598402"
"AuricularFeathers","AuricularFeathers","delta","0.901098901098901","0","0.197802197802198","0","0.113886113886114","0.135864135864136"
"MalarRegion","MalarRegion","delta","0.909090909090909","0.027972027972028","0.175824175824176","0","0.111888111888112","0.0559440559440559"
"LateralNeck","LateralNeck","BM","0.875124875124875","0.281718281718282","0.381618381618382","0.0659340659340659","0.619380619380619","0.035964035964036"
"LateralBreast","LateralBreast","delta","0.909090909090909","0.047952047952048","0.297702297702298","0.00599400599400599","0.0759240759240759","0.285714285714286"
"Wrist","Wrist","OU","0.865134865134865","0.003996003996004","0.38961038961039","0.511488511488511","0.719280719280719","0.981018981018981"
"Shoulder","Shoulder","delta","0.817182817182817","0.231768231768232","0.835164835164835","0.003996003996004","0.929070929070929","0.443556443556444"
"MarginalWingCoverts","MarginalWingCoverts","OU","0.893106893106893","0.013986013986014","0.713286713286713","0.863136863136863","0.907092907092907","0.947052947052947"
"LesserCoverts","LesserCoverts","delta","0.855144855144855","0.377622377622378","0.4995004995005","0.823176823176823","0.551448551448551","0.253746253746254"
"MedianCoverts","MedianCoverts","OU","0.871128871128871","0.151848151848152","0.829170829170829","0.125874125874126","0.595404595404595","0.573426573426573"
"GreaterSecondaryCoverts","GreaterSecondaryCoverts","delta","0.895104895104895","0.03996003996004","0.985014985014985","0.0959040959040959","0.907092907092907","0.395604395604396"
"FoldedSecondaries","FoldedSecondaries","delta","0.915084915084915","0.639360639360639","0.923076923076923","0.631368631368631","0.875124875124875","0.36963036963037"
"FoldedPrimaries","FoldedPrimaries","OU","0.915084915084915","0.0619380619380619","0.711288711288711","0.969030969030969","0.707292707292707","0.493506493506494"
"UpperFlank","UpperFlank","delta","0.911088911088911","0.015984015984016","0.0699300699300699","0.013986013986014","0.0979020979020979","0.101898101898102"
"LowerFlank","LowerFlank","BM","0.901098901098901","0.003996003996004","0.281718281718282","0.235764235764236","0.44955044955045","0.975024975024975"
"ThroatSides","ThroatSides","delta","0.887112887112887","0.141858141858142","0.353646353646354","0","0.273726273726274","0.519480519480519"
"UpperBreast","UpperBreast","OU","0.853146853146853","0.021978021978022","0.173826173826174","0","0.14985014985015","0.317682317682318"
"LowerBreast","LowerBreast","BM","0.915084915084915","0.185814185814186","0.753246753246753","0","0.973026973026973","0.315684315684316"
"SideBreast","SideBreast","delta","0.963036963036963","0.051948051948052","0.287712287712288","0","0.197802197802198","0.143856143856144"
"UpperAbdomen","UpperAbdomen","BM","0.897102897102897","0.00799200799200799","0.713286713286713","0.0939060939060939","0.739260739260739","0.433566433566434"
"LowerAbdomen","LowerAbdomen","BM","0.955044955044955","0","0.353646353646354","0.153846153846154","0.471528471528472","0.327672327672328"
"CruralFeathers","CruralFeathers","delta","0.891108891108891","0.023976023976024","0.849150849150849","0.415584415584416","0.275724275724276","0.761238761238761"
"Crissum","Crissum","delta","0.873126873126873","0","0.687312687312687","0.001998001998002","0.241758241758242","0.341658341658342"
"Collar","Collar","delta","0.899100899100899","0.397602397602398","0.0819180819180819","0.001998001998002","0.20979020979021","0.605394605394605"
"Forehead","Forehead","delta","0.953046953046953","0","0.0819180819180819","0.0619380619380619","0.0719280719280719","0.003996003996004"
"Crown","Crown","delta","0.895104895104895","0","0.433566433566434","0.0559440559440559","0.705294705294705","0.121878121878122"
"Occiput","Occiput","delta","0.883116883116883","0","0.563436563436563","0.013986013986014","0.331668331668332","0.045954045954046"
"Nape","Nape","delta","0.873126873126873","0.015984015984016","0.853146853146853","0.415584415584416","0.821178821178821","0.255744255744256"
"NucalCollar","NucalCollar","delta","0.893106893106893","0.0719280719280719","0.769230769230769","0.925074925074925","0.453546453546454","0.355644355644356"
"Scapulars","Scapulars","delta","0.871128871128871","0.13986013986014","0.197802197802198","0.889110889110889","0.623376623376623","0.521478521478521"
"Back","Back","delta","0.903096903096903","0.00599400599400599","0.827172827172827","0.367632367632368","0.899100899100899","0.895104895104895"
"Rump","Rump","delta","0.893106893106893","0.021978021978022","0.859140859140859","0.405594405594406","0.433566433566434","0.673326673326673"
"UpperTailCoverts","UpperTailCoverts","delta","0.919080919080919","0.02997002997003","0.193806193806194","0.799200799200799","0.545454545454545","0.895104895104895"
